theta,phi,psi,altitude,vx,vy,vz,accelx,accely,accelz,yaw1,yaw2
-815.0,972.0,120638.0,223.0,-815.0,972.0,120638.0,4.469,-22.379,-981.88,0.128,0.0
-816.0,972.0,120639.0,223.0,-816.0,972.0,120639.0,2.087,-24.688,-981.87,0.216,0.01
-818.0,974.0,120639.0,223.0,-818.0,974.0,120639.0,2.14,-27.055,-981.84,0.364,-0.23
-819.0,974.0,120640.0,223.0,-819.0,974.0,120640.0,4.998,-26.46,-979.39,0.27,-0.07
-820.0,975.0,120640.0,223.0,-820.0,975.0,120640.0,4.771,-26.199,-979.46,0.341,-0.11
-821.0,976.0,120641.0,223.0,-821.0,976.0,120641.0,4.465,-26.453,-982.4,0.266,-0.09
-822.0,977.0,120641.0,223.0,-822.0,977.0,120641.0,4.744,-26.346,-982.11,0.255,-0.07
-822.0,978.0,120642.0,223.0,-822.0,978.0,120642.0,4.654,-26.185,-979.24,0.305,0.02
-822.0,978.0,120642.0,223.0,-822.0,978.0,120642.0,4.634,-26.028,-977.12,0.297,-0.02
-822.0,979.0,120643.0,223.0,-822.0,979.0,120643.0,6.973,-26.044,-977.61,0.283,0.05
-822.0,980.0,120643.0,223.0,-822.0,980.0,120643.0,9.259,-26.062,-977.9,0.29,-0.02
-822.0,980.0,120644.0,223.0,-822.0,980.0,120644.0,6.205,-26.03,-977.76,0.285,-0.03
-823.0,981.0,120644.0,223.0,-823.0,981.0,120644.0,3.482,-26.033,-977.87,0.286,0.0
-823.0,982.0,120645.0,223.0,-823.0,982.0,120645.0,4.169,-26.068,-977.85,0.292,0.13
-822.0,983.0,120645.0,223.0,-822.0,983.0,120645.0,4.39,-26.102,-977.85,0.288,0.22
-822.0,983.0,120646.0,223.0,-822.0,983.0,120646.0,4.214,-26.127,-977.84,0.286,0.1
-822.0,984.0,120646.0,223.0,-822.0,984.0,120646.0,4.23,-26.146,-977.85,0.288,0.26
