theta,phi,psi,altitude,vx,vy,vz,accelx,accely,accelz,yaw1,yaw2
-1398.0,-85390.0,116253.0,409.0,-1398.0,-85390.0,116253.0,-8.787,1014.134,-79.94,0.17,-0.46
-1399.0,-85389.0,116256.0,409.0,-1399.0,-85389.0,116256.0,-8.073,1014.282,-79.73,0.374,-0.59
-1400.0,-85387.0,116259.0,409.0,-1400.0,-85387.0,116259.0,-7.709,1017.283,-79.84,0.432,-0.52
-1400.0,-85386.0,116262.0,409.0,-1400.0,-85386.0,116262.0,-5.567,1017.137,-79.76,0.428,-0.58
-1399.0,-85384.0,116265.0,409.0,-1399.0,-85384.0,116265.0,-3.342,1016.793,-79.74,0.439,-0.6
-1399.0,-85383.0,116268.0,409.0,-1399.0,-85383.0,116268.0,-4.106,1017.134,-79.74,0.353,-0.55
-1399.0,-85383.0,116271.0,409.0,-1399.0,-85383.0,116271.0,-4.549,1017.168,-79.74,0.228,-0.55
-1399.0,-85382.0,116273.0,409.0,-1399.0,-85382.0,116273.0,-4.509,1017.217,-79.75,0.177,-0.43
-1399.0,-85382.0,116275.0,409.0,-1399.0,-85382.0,116275.0,-4.616,1017.135,-79.74,0.147,-0.47
-1398.0,-85382.0,116277.0,409.0,-1398.0,-85382.0,116277.0,-4.628,1017.027,-79.74,0.16,-0.41
-1398.0,-85381.0,116280.0,409.0,-1398.0,-85381.0,116280.0,-4.652,1016.848,-79.74,0.252,-0.49
-1398.0,-85382.0,116283.0,409.0,-1398.0,-85382.0,116283.0,-4.641,1014.302,-79.7,0.065,-0.63
-1398.0,-85383.0,116286.0,409.0,-1398.0,-85383.0,116286.0,-4.625,1014.197,-79.7,-0.062,-0.55
-1398.0,-85384.0,116289.0,409.0,-1398.0,-85384.0,116289.0,-4.575,1016.958,-79.76,-0.202,-0.61
-1399.0,-85386.0,116292.0,409.0,-1399.0,-85386.0,116292.0,-4.51,1016.619,-79.75,-0.278,-0.54
-1400.0,-85389.0,116297.0,409.0,-1400.0,-85389.0,116297.0,-4.361,1016.283,-79.74,-0.066,-0.58
-1400.0,-85389.0,116300.0,409.0,-1400.0,-85389.0,116300.0,-4.296,1018.542,-79.79,0.074,-0.57
