theta,phi,psi,altitude,vx,vy,vz,accelx,accely,accelz,yaw1,yaw2
89380.0,-144425.0,125911.0,398.0,0.0,0.0,0.0,978.817,-15.934,10.48,0.581,-0.04
89380.0,-144402.0,125931.0,398.0,0.0,0.0,0.0,975.943,-15.747,10.74,0.581,-0.06
89380.0,-144341.0,125989.0,398.0,0.0,0.0,0.0,973.782,-15.771,10.52,0.436,-0.15
89381.0,-144273.0,126055.0,398.0,0.0,0.0,0.0,974.242,-15.764,10.58,0.341,-0.24
89381.0,-144260.0,126068.0,398.0,0.0,0.0,0.0,974.515,-15.801,10.58,0.327,-0.16
89382.0,-144204.0,126122.0,398.0,0.0,0.0,0.0,974.293,-15.818,10.59,0.346,-0.25
89382.0,-144214.0,126109.0,398.0,0.0,0.0,0.0,976.746,-18.252,10.67,0.58,-0.16
89383.0,-144239.0,126081.0,398.0,0.0,0.0,0.0,976.743,-20.622,10.72,0.64,-0.16
89384.0,-144262.0,126054.0,398.0,0.0,0.0,0.0,976.235,-19.998,13.09,0.617,-0.21
89384.0,-144316.0,125997.0,398.0,0.0,0.0,0.0,978.833,-19.627,15.46,0.466,-0.19
89384.0,-144368.0,125943.0,397.0,0.0,0.0,0.0,978.795,-19.737,14.88,0.431,-0.18
89385.0,-144410.0,125899.0,397.0,0.0,0.0,0.0,978.315,-19.586,14.56,0.405,-0.19
89385.0,-144455.0,125852.0,397.0,0.0,0.0,0.0,978.527,-19.491,14.73,0.531,-0.18
89385.0,-144517.0,125787.0,397.0,0.0,0.0,0.0,978.357,-19.335,17.08,0.661,-0.19
89385.0,-144597.0,125705.0,397.0,0.0,0.0,0.0,978.289,-19.26,19.42,0.561,-0.19
89384.0,-144674.0,125625.0,397.0,0.0,0.0,0.0,978.239,-19.296,18.82,0.632,-0.19
89384.0,-144728.0,125568.0,397.0,0.0,0.0,0.0,978.311,-19.403,16.13,0.409,-0.19
89384.0,-144764.0,125529.0,397.0,0.0,0.0,0.0,978.364,-19.488,13.96,0.454,-0.19
89385.0,-144806.0,125486.0,397.0,0.0,0.0,0.0,978.326,-19.471,14.51,0.442,-0.19
89385.0,-144849.0,125440.0,397.0,0.0,0.0,0.0,978.317,-19.483,14.83,0.513,-0.19
89385.0,-144861.0,125424.0,397.0,0.0,0.0,0.0,978.34,-17.192,14.59,0.65,-0.19
89384.0,-144846.0,125436.0,397.0,0.0,0.0,0.0,978.358,-14.95,14.6,0.567,-0.19
89385.0,-144820.0,125460.0,397.0,0.0,0.0,0.0,978.444,-15.65,12.21,0.63,-0.19
89385.0,-144797.0,125480.0,397.0,0.0,0.0,0.0,978.449,-15.945,12.29,0.557,-0.19
89385.0,-144797.0,125478.0,397.0,0.0,0.0,0.0,978.36,-15.635,15.2,0.551,-0.19
89385.0,-144793.0,125478.0,397.0,0.0,0.0,0.0,978.373,-15.636,14.92,0.596,-0.19
89385.0,-144785.0,125484.0,396.0,0.0,0.0,0.0,978.39,-15.596,14.45,0.589,-0.19
89385.0,-144779.0,125487.0,396.0,0.0,0.0,0.0,978.382,-15.578,14.66,0.576,-0.19
89384.0,-144771.0,125491.0,396.0,0.0,0.0,0.0,978.381,-15.558,14.6,0.583,-0.19
89384.0,-144765.0,125495.0,396.0,0.0,0.0,0.0,978.378,-15.569,14.63,0.577,-0.19
89384.0,-144758.0,125499.0,396.0,0.0,0.0,0.0,978.376,-15.594,14.6,0.579,-0.19
89384.0,-144753.0,125501.0,396.0,0.0,0.0,0.0,980.748,-15.639,14.66,0.584,-0.19
89384.0,-144749.0,125503.0,396.0,0.0,0.0,0.0,983.068,-15.689,14.71,0.435,-0.19
89383.0,-144744.0,125503.0,396.0,0.0,0.0,0.0,982.482,-15.708,14.69,0.484,-0.19
89384.0,-144772.0,125476.0,396.0,0.0,0.0,0.0,982.163,-18.076,14.73,0.277,-0.19
89383.0,-144847.0,125399.0,396.0,0.0,0.0,0.0,982.24,-20.317,17.17,0.265,-0.19
89383.0,-144915.0,125330.0,396.0,0.0,0.0,0.0,982.202,-19.791,17.1,0.258,-0.19
89383.0,-144976.0,125268.0,396.0,0.0,0.0,0.0,982.232,-19.578,16.56,0.235,-0.19
89383.0,-145060.0,125182.0,396.0,0.0,0.0,0.0,979.753,-19.706,19.14,0.329,-0.19
89383.0,-145142.0,125098.0,396.0,0.0,0.0,0.0,977.451,-19.716,18.98,0.447,-0.19
89382.0,-145189.0,125048.0,396.0,0.0,0.0,0.0,978.051,-19.786,18.47,0.501,-0.19
89382.0,-145249.0,124986.0,396.0,0.0,0.0,0.0,980.719,-19.764,18.74,0.535,-0.19
89381.0,-145292.0,124938.0,395.0,0.0,0.0,0.0,982.877,-19.713,18.71,0.663,-0.19
89381.0,-145324.0,124906.0,395.0,0.0,0.0,0.0,982.346,-17.215,18.7,0.52,-0.19
89381.0,-145355.0,124871.0,395.0,0.0,0.0,0.0,982.045,-14.743,18.61,0.628,-0.19
89380.0,-145373.0,124851.0,395.0,0.0,0.0,0.0,982.228,-15.159,18.64,0.576,-0.19
89378.0,-145376.0,124843.0,395.0,0.0,0.0,0.0,982.168,-15.331,18.65,0.552,-0.19
89378.0,-145401.0,124816.0,395.0,0.0,0.0,0.0,982.168,-17.446,18.69,0.594,-0.19
89378.0,-145360.0,124855.0,395.0,0.0,0.0,0.0,982.233,-17.527,16.3,0.587,-0.19
89377.0,-145322.0,124889.0,395.0,0.0,0.0,0.0,982.258,-14.705,16.3,0.573,-0.19
89376.0,-145331.0,124878.0,395.0,0.0,0.0,0.0,982.158,-14.99,19.23,0.585,-0.19
89376.0,-145368.0,124838.0,395.0,0.0,0.0,0.0,982.148,-17.906,19.0,0.58,-0.19
89376.0,-145456.0,124746.0,395.0,0.0,0.0,0.0,982.234,-20.193,16.18,0.578,-0.19
89376.0,-145506.0,124695.0,395.0,0.0,0.0,0.0,982.227,-19.737,16.43,0.584,-0.19
89376.0,-145538.0,124660.0,395.0,0.0,0.0,0.0,979.852,-17.067,16.82,0.436,-0.19
89375.0,-145539.0,124656.0,395.0,0.0,0.0,0.0,979.925,-15.003,16.58,0.484,-0.19
89375.0,-145544.0,124650.0,395.0,0.0,0.0,0.0,982.827,-15.555,16.67,0.423,-0.19
89374.0,-145538.0,124651.0,395.0,0.0,0.0,0.0,982.623,-15.955,14.28,0.65,-0.19
89375.0,-145531.0,124655.0,395.0,0.0,0.0,0.0,979.775,-15.76,14.28,0.751,-0.19
89375.0,-145524.0,124659.0,395.0,0.0,0.0,0.0,977.648,-15.773,14.79,0.723,-0.19
89375.0,-145487.0,124693.0,395.0,0.0,0.0,0.0,978.202,-13.398,14.5,0.709,-0.19
89373.0,-145433.0,124743.0,395.0,0.0,0.0,0.0,978.611,-13.478,12.2,0.483,-0.19
89375.0,-145413.0,124761.0,395.0,0.0,0.0,0.0,978.394,-16.237,12.27,0.564,-0.19
89374.0,-145393.0,124777.0,395.0,0.0,0.0,0.0,978.437,-15.861,12.83,0.544,-0.19
89375.0,-145346.0,124822.0,395.0,0.0,0.0,0.0,978.518,-15.463,10.19,0.612,-0.19
89376.0,-145303.0,124862.0,395.0,0.0,0.0,0.0,978.524,-15.696,10.3,0.609,-0.19
89376.0,-145284.0,124879.0,397.0,0.0,0.0,0.0,978.419,-15.605,13.22,0.567,-0.19
89375.0,-145282.0,124877.0,397.0,0.0,0.0,0.0,978.35,-15.631,15.33,0.568,-0.19
89376.0,-145307.0,124850.0,397.0,0.0,0.0,0.0,980.732,-18.047,14.9,0.584,-0.19
89376.0,-145359.0,124795.0,397.0,0.0,0.0,0.0,983.047,-20.432,14.64,0.582,-0.19
89376.0,-145405.0,124746.0,397.0,0.0,0.0,0.0,982.459,-19.861,14.83,0.584,-0.19
89377.0,-145409.0,124739.0,397.0,0.0,0.0,0.0,979.784,-19.528,14.71,0.581,-0.33
89378.0,-145428.0,124717.0,397.0,0.0,0.0,0.0,977.632,-19.663,14.68,0.577,-0.28
89378.0,-145400.0,124742.0,397.0,0.0,0.0,0.0,978.198,-17.253,14.63,0.58,-0.34
89378.0,-145365.0,124774.0,397.0,0.0,0.0,0.0,978.549,-14.946,14.6,0.437,-0.26
89378.0,-145375.0,124762.0,397.0,0.0,0.0,0.0,978.396,-15.484,14.61,0.486,-0.11
89378.0,-145348.0,124788.0,397.0,0.0,0.0,0.0,980.94,-15.903,12.27,0.277,-0.2
89378.0,-145319.0,124815.0,397.0,0.0,0.0,0.0,983.34,-15.858,9.98,0.265,-0.13
89379.0,-145276.0,124857.0,397.0,0.0,0.0,0.0,980.352,-15.896,10.51,0.402,-0.21
89380.0,-145232.0,124899.0,397.0,0.0,0.0,0.0,977.652,-15.929,10.77,0.33,-0.22
89380.0,-145220.0,124908.0,397.0,0.0,0.0,0.0,980.643,-15.976,13.05,0.633,-0.17
89379.0,-145225.0,124899.0,397.0,0.0,0.0,0.0,980.719,-15.935,15.43,0.618,-0.18
89379.0,-145251.0,124870.0,398.0,0.0,0.0,0.0,977.627,-18.279,14.82,0.584,-0.19
89379.0,-145277.0,124843.0,398.0,0.0,0.0,0.0,980.31,-18.192,14.58,0.483,-0.18
89380.0,-145331.0,124787.0,398.0,0.0,0.0,0.0,980.744,-17.529,14.73,0.441,-0.05
89378.0,-145400.0,124714.0,398.0,0.0,0.0,0.0,977.649,-19.927,14.68,0.4,-0.1
89379.0,-145456.0,124656.0,398.0,0.0,0.0,0.0,978.0,-17.365,14.66,0.533,-0.03
89378.0,-145453.0,124656.0,398.0,0.0,0.0,0.0,978.475,-14.523,14.59,0.657,-0.11
89378.0,-145423.0,124684.0,398.0,0.0,0.0,0.0,978.279,-15.338,14.61,0.559,-0.26
89378.0,-145419.0,124685.0,398.0,0.0,0.0,0.0,978.293,-15.615,14.62,0.636,-0.17
89377.0,-145426.0,124674.0,398.0,0.0,0.0,0.0,978.247,-17.878,14.66,0.554,-0.24
89378.0,-145481.0,124617.0,398.0,0.0,0.0,0.0,978.297,-20.204,14.71,0.548,-0.16
89379.0,-145532.0,124563.0,398.0,0.0,0.0,0.0,978.326,-19.64,14.69,0.601,-0.15
89379.0,-145567.0,124525.0,398.0,0.0,0.0,0.0,978.386,-19.368,14.69,0.589,-0.2
89379.0,-145605.0,124484.0,398.0,0.0,0.0,0.0,978.44,-19.521,14.69,0.574,-0.19
