theta,phi,psi,altitude,vx,vy,vz,accelx,accely,accelz,yaw1,yaw2
-27087.0,-8163.0,-30989.0,1182.0,-27087.0,-8163.0,-30989.0,-64.422,117.026,-990.28,-34.602,-148.18
-27788.0,-8226.0,-31181.0,1182.0,-27788.0,-8226.0,-31181.0,-100.083,96.713,-993.4,-31.287,-145.17
-28486.0,-8262.0,-31379.0,1182.0,-28486.0,-8262.0,-31379.0,-139.484,73.931,-996.87,-27.477,-143.57
-29183.0,-8273.0,-31583.0,1121.0,-29183.0,-8273.0,-31583.0,-175.726,56.193,-997.3,-23.939,-142.7
-29880.0,-8265.0,-31790.0,1121.0,-29880.0,-8265.0,-31790.0,-204.955,44.577,-998.0,-21.086,-142.29
-30579.0,-8240.0,-31996.0,1121.0,-30579.0,-8240.0,-31996.0,-227.76,36.895,-999.11,-18.601,-142.32
-31277.0,-8205.0,-32202.0,1121.0,-31277.0,-8205.0,-32202.0,-238.094,39.217,-995.18,-16.637,-142.45
-31972.0,-8169.0,-32405.0,1121.0,-31972.0,-8169.0,-32405.0,-238.368,50.129,-986.54,-16.164,-141.96
-32657.0,-8138.0,-32605.0,1121.0,-32657.0,-8138.0,-32605.0,-237.876,66.689,-976.7,-16.806,-140.61
-33328.0,-8120.0,-32802.0,1121.0,-33328.0,-8120.0,-32802.0,-235.878,86.173,-967.52,-18.901,-138.15
-33974.0,-8121.0,-32998.0,1121.0,-33974.0,-8121.0,-32998.0,-231.947,100.768,-960.69,-22.429,-133.59
-34592.0,-8139.0,-33194.0,1123.0,-34592.0,-8139.0,-33194.0,-225.061,113.408,-955.88,-25.953,-128.57
-35180.0,-8176.0,-33390.0,1123.0,-35180.0,-8176.0,-33390.0,-220.639,128.036,-950.56,-29.814,-122.86
-35738.0,-8230.0,-33585.0,1123.0,-35738.0,-8230.0,-33585.0,-226.905,137.119,-942.64,-32.999,-117.11
-36275.0,-8294.0,-33779.0,1123.0,-36275.0,-8294.0,-33779.0,-242.322,136.806,-934.93,-35.226,-112.55
-36789.0,-8363.0,-33973.0,1123.0,-36789.0,-8363.0,-33973.0,-263.021,132.178,-930.22,-36.458,-107.71
-37286.0,-8429.0,-34166.0,1123.0,-37286.0,-8429.0,-34166.0,-288.72,120.075,-930.03,-36.596,-103.95
-37767.0,-8486.0,-34360.0,1123.0,-37767.0,-8486.0,-34360.0,-311.75,101.038,-929.16,-35.53,-100.36
-38234.0,-8531.0,-34554.0,1123.0,-38234.0,-8531.0,-34554.0,-331.072,84.482,-922.68,-33.899,-97.21
-38691.0,-8562.0,-34745.0,1135.0,-38691.0,-8562.0,-34745.0,-349.644,70.14,-914.39,-31.429,-94.85
-39138.0,-8578.0,-34935.0,1135.0,-39138.0,-8578.0,-34935.0,-363.686,56.4,-909.42,-28.771,-92.86
-39574.0,-8585.0,-35120.0,1135.0,-39574.0,-8585.0,-35120.0,-370.538,45.868,-904.4,-26.57,-90.67
-39997.0,-8583.0,-35300.0,1135.0,-39997.0,-8583.0,-35300.0,-373.681,37.726,-896.26,-24.901,-88.19
-40400.0,-8580.0,-35477.0,1135.0,-40400.0,-8580.0,-35477.0,-376.114,32.759,-888.44,-24.288,-84.51
-40781.0,-8575.0,-35653.0,1135.0,-40781.0,-8575.0,-35653.0,-377.959,30.015,-878.73,-24.16,-79.93
-41137.0,-8570.0,-35830.0,1135.0,-41137.0,-8570.0,-35830.0,-382.038,30.17,-868.92,-24.367,-75.12
-41464.0,-8564.0,-36009.0,1135.0,-41464.0,-8564.0,-36009.0,-386.918,34.808,-862.16,-24.357,-69.17
-41766.0,-8558.0,-36190.0,1150.0,-41766.0,-8558.0,-36190.0,-390.513,38.19,-855.03,-24.601,-64.21
-42039.0,-8550.0,-36372.0,1150.0,-42039.0,-8550.0,-36372.0,-393.972,40.119,-849.81,-24.496,-58.34
-42288.0,-8542.0,-36557.0,1150.0,-42288.0,-8542.0,-36557.0,-399.799,42.29,-847.19,-24.983,-53.5
-42516.0,-8535.0,-36746.0,1150.0,-42516.0,-8535.0,-36746.0,-409.974,45.169,-841.64,-25.602,-48.97
-42722.0,-8529.0,-36937.0,1150.0,-42722.0,-8529.0,-36937.0,-423.111,47.282,-835.93,-26.302,-44.35
-42912.0,-8524.0,-37133.0,1150.0,-42912.0,-8524.0,-37133.0,-435.709,46.886,-830.84,-27.12,-40.89
-43084.0,-8518.0,-37330.0,1150.0,-43084.0,-8518.0,-37330.0,-447.261,45.08,-825.46,-27.193,-36.92
-43245.0,-8513.0,-37525.0,1150.0,-43245.0,-8513.0,-37525.0,-460.064,42.384,-820.15,-27.2,-34.59
-43539.0,-8503.0,-37894.0,1172.0,-43539.0,-8503.0,-37894.0,-484.919,43.226,-807.15,-25.358,-30.77
-43679.0,-8500.0,-38065.0,1172.0,-43679.0,-8500.0,-38065.0,-496.876,36.184,-802.16,-24.608,-29.91
-43816.0,-8500.0,-38224.0,1172.0,-43816.0,-8500.0,-38224.0,-507.909,31.016,-793.95,-23.807,-29.08
-43954.0,-8508.0,-38373.0,1172.0,-43954.0,-8508.0,-38373.0,-517.46,25.312,-788.43,-24.076,-29.41
-44089.0,-8522.0,-38513.0,1172.0,-44089.0,-8522.0,-38513.0,-526.687,17.029,-785.59,-24.029,-28.7
-44222.0,-8541.0,-38643.0,1172.0,-44222.0,-8541.0,-38643.0,-533.326,11.862,-781.96,-24.104,-28.48
-44351.0,-8562.0,-38767.0,1172.0,-44351.0,-8562.0,-38767.0,-535.32,6.332,-782.74,-23.949,-27.74
-44472.0,-8580.0,-38889.0,1191.0,-44472.0,-8580.0,-38889.0,-533.624,-2.956,-785.77,-22.969,-26.38
-44586.0,-8593.0,-39012.0,1191.0,-44586.0,-8593.0,-39012.0,-533.661,-10.301,-787.73,-22.422,-25.23
-44692.0,-8598.0,-39137.0,1191.0,-44692.0,-8598.0,-39137.0,-535.397,-13.184,-789.7,-21.308,-23.4
-44789.0,-8593.0,-39268.0,1191.0,-44789.0,-8593.0,-39268.0,-540.37,-17.074,-789.39,-20.194,-21.68
-44878.0,-8575.0,-39407.0,1191.0,-44878.0,-8575.0,-39407.0,-549.036,-21.671,-786.75,-18.997,-19.7
-44961.0,-8542.0,-39555.0,1191.0,-44961.0,-8542.0,-39555.0,-558.156,-20.843,-782.41,-17.173,-17.91
-45038.0,-8495.0,-39711.0,1191.0,-45038.0,-8495.0,-39711.0,-567.75,-15.08,-778.49,-15.286,-16.47
