theta,phi,psi,altitude,vx,vy,vz,accelx,accely,accelz,yaw1,yaw2
-369.0,196.0,27781.0,456.0,-10.812,-1.712,0.0,39.501,-114.563,-1012.69,3.744,0.47
-356.0,204.0,27783.0,456.0,-27.631,-1.094,0.0,115.999,-30.118,-996.1,1.905,0.07
-352.0,194.0,27782.0,456.0,-29.233,-18.585,0.0,62.106,43.77,-1002.24,0.656,0.23
-367.0,212.0,27783.0,456.0,-8.281,-10.43,0.0,-29.415,-51.98,-1010.22,3.056,-0.78
-352.0,234.0,27780.0,456.0,-14.743,8.966,0.0,59.441,-98.752,-995.65,2.336,2.49
-334.0,234.0,27780.0,456.0,-41.586,1.794,0.0,146.078,-0.039,-1003.03,1.281,0.08
-349.0,225.0,27778.0,456.0,-33.441,-10.315,0.0,16.227,23.994,-1019.9,0.191,-2.24
-361.0,245.0,27776.0,456.0,-9.04,2.171,0.0,-54.478,-70.297,-990.43,2.928,0.71
-348.0,257.0,27777.0,456.0,-25.993,13.342,0.0,102.896,-72.814,-974.21,1.344,0.58
-309.0,246.0,27777.0,456.0,-46.068,1.079,0.0,124.07,17.348,-1016.17,-0.482,5.05
-326.0,234.0,27776.0,456.0,-18.203,-7.364,0.0,-62.255,8.149,-1016.35,-0.987,0.14
-305.0,257.0,27774.0,456.0,-2.695,4.708,0.0,-16.618,-75.007,-958.16,3.389,6.03
-297.0,267.0,27772.0,456.0,-34.575,12.819,0.0,169.746,-65.063,-988.36,1.129,-2.49
-289.0,262.0,27773.0,456.0,-38.187,2.523,0.0,69.96,6.125,-1036.71,0.393,0.5
-328.0,257.0,27770.0,456.0,-2.247,-2.852,0.0,-86.555,-5.836,-980.06,0.136,-3.53
-319.0,284.0,27771.0,456.0,-4.414,10.072,0.0,51.484,-77.901,-941.63,4.129,1.48
-296.0,296.0,27771.0,456.0,-34.476,18.379,0.0,166.864,-65.666,-1010.98,1.336,0.54
-306.0,291.0,27774.0,456.0,-18.892,6.081,0.0,-5.028,14.391,-1011.82,0.775,-0.53
-332.0,295.0,27775.0,456.0,12.488,-0.995,0.0,-70.011,-3.954,-931.15,2.017,-1.45
-300.0,312.0,27774.0,456.0,-7.527,13.78,0.0,124.794,-89.676,-969.81,1.628,3.6
-290.0,323.0,27775.0,456.0,-28.167,18.987,0.0,137.466,-58.129,-1049.89,1.657,-1.1
-315.0,307.0,27773.0,456.0,-2.48,1.164,0.0,-41.92,33.387,-998.98,-0.982,-2.38
-333.0,305.0,27773.0,456.0,12.776,-5.268,0.0,-18.338,-10.902,-940.32,0.545,-1.64
-306.0,314.0,27772.0,456.0,-10.949,10.016,0.0,133.71,-96.417,-1017.97,-0.154,2.35
-280.0,300.0,27774.0,456.0,-14.955,4.622,0.0,78.633,-21.415,-1046.7,-2.08,3.97
-293.0,269.0,27770.0,456.0,10.421,-17.564,0.0,-39.715,50.009,-964.2,-3.346,0.15
-261.0,280.0,27769.0,456.0,14.338,-11.919,0.0,35.436,-52.331,-971.55,1.575,6.64
-264.0,282.0,27768.0,456.0,-3.422,6.141,0.0,122.392,-106.096,-1048.84,-1.665,-3.27
-232.0,261.0,27766.0,456.0,-5.697,-9.645,0.0,46.804,19.179,-1010.06,-2.384,6.16
-258.0,234.0,27766.0,456.0,8.855,-30.168,0.0,-21.021,46.733,-961.66,-2.708,-3.1
-225.0,261.0,27764.0,456.0,4.794,-12.598,0.0,47.81,-98.432,-1009.59,3.33,6.52
-211.0,284.0,27764.0,457.0,-13.039,5.95,0.0,107.118,-104.359,-1033.55,2.595,0.66
-208.0,277.0,27770.0,457.0,-12.326,-14.012,0.0,39.989,43.607,-978.19,1.113,0.78
-222.0,272.0,27770.0,457.0,3.339,-26.435,0.0,-21.635,23.204,-969.44,0.961,-0.82
-207.0,293.0,27776.0,457.0,-0.235,2.198,0.0,44.052,-117.208,-1015.88,1.738,2.97
-176.0,294.0,27778.0,457.0,-20.844,14.408,0.0,115.463,-64.858,-1010.01,-0.784,3.87
-182.0,269.0,27778.0,457.0,-22.302,-5.033,0.0,47.283,58.385,-983.44,-1.711,-1.37
-191.0,277.0,27781.0,457.0,-3.269,-3.398,0.0,-35.954,-17.589,-995.36,2.138,0.9
-185.0,290.0,27778.0,457.0,-7.854,19.88,0.0,56.193,-117.62,-1012.14,0.065,0.78
-169.0,290.0,27783.0,458.0,-30.988,16.18,0.0,134.412,-19.312,-999.47,0.6,0.16
-178.0,261.0,27782.0,458.0,-22.272,-3.74,0.0,15.533,49.003,-1000.2,-2.884,-0.84
-187.0,264.0,27786.0,458.0,5.523,4.957,0.0,-59.121,-58.492,-993.66,-0.14,1.55
-167.0,266.0,27785.0,458.0,-6.85,20.629,0.0,91.432,-91.62,-982.03,-1.473,2.33
-128.0,240.0,27786.0,458.0,-31.431,7.339,0.0,147.535,18.729,-995.36,-3.333,4.38
-154.0,211.0,27786.0,458.0,-7.98,-8.243,0.0,-28.445,25.374,-996.6,-3.747,-2.67
-145.0,221.0,27784.0,458.0,13.89,4.981,0.0,-33.722,-84.443,-970.67,0.454,4.18
-160.0,219.0,27786.0,458.0,-12.849,14.478,0.0,154.557,-76.157,-976.47,-1.738,-6.47
-144.0,192.0,27788.0,456.0,-22.215,-1.965,0.0,96.787,25.008,-1000.42,-3.338,1.47
-184.0,169.0,27789.0,456.0,14.075,-12.435,0.0,-92.189,3.419,-978.18,-3.346,-3.68
-161.0,190.0,27792.0,456.0,18.103,1.132,0.0,21.664,-89.541,-940.92,2.472,5.36
-122.0,188.0,27792.0,456.0,-19.2,6.572,0.0,188.862,-63.404,-985.82,-1.233,3.05
-133.0,167.0,27793.0,456.0,-9.694,-10.802,0.0,31.849,24.92,-1018.22,-2.379,-1.78
-156.0,162.0,27793.0,456.0,27.205,-19.45,0.0,-85.013,-1.783,-959.96,0.205,-0.41
-148.0,169.0,27793.0,456.0,12.282,-5.713,0.0,108.833,-88.953,-968.97,-0.403,-0.4
-111.0,170.0,27793.0,456.0,-14.571,-1.87,0.0,165.177,-55.637,-1037.68,-0.449,3.31
-134.0,141.0,27793.0,456.0,6.231,-18.182,0.0,-40.324,34.157,-988.53,-3.513,-1.68
-141.0,138.0,27795.0,456.0,27.288,-22.362,0.0,-51.884,-6.987,-918.79,0.32,1.59
-105.0,138.0,27792.0,456.0,-2.288,-3.519,0.0,144.857,-99.05,-989.14,-2.056,3.87
-84.0,135.0,27795.0,456.0,-21.008,-1.423,0.0,117.751,-39.636,-1040.89,-0.748,1.83
-91.0,99.0,27792.0,456.0,2.635,-19.994,0.0,-46.462,43.802,-962.23,-4.738,1.75
-71.0,103.0,27792.0,456.0,7.782,-16.138,0.0,17.367,-38.293,-933.74,0.774,4.76
-49.0,123.0,27792.0,456.0,-21.713,7.141,0.0,145.583,-112.637,-1024.05,1.421,1.08
-20.0,112.0,27792.0,456.0,-25.623,2.169,0.0,55.374,-9.114,-1020.33,-1.338,5.66
-47.0,98.0,27792.0,456.0,-4.374,-14.036,0.0,-45.736,39.497,-942.8,-0.328,-2.42
-10.0,121.0,27793.0,456.0,-8.458,3.103,0.0,51.135,-86.798,-981.76,2.874,7.05
-1.0,138.0,27794.0,456.0,-29.457,21.601,0.0,122.403,-101.249,-1048.82,1.152,-0.67
4.0,117.0,27794.0,456.0,-23.912,2.477,0.0,24.123,43.102,-984.45,-1.566,2.09
-18.0,93.0,27796.0,456.0,-5.808,-10.336,0.0,-30.081,27.252,-951.2,-2.892,-2.12
0.0,99.0,27797.0,456.0,-10.807,15.147,0.0,67.845,-120.156,-1021.21,-1.618,2.76
18.0,95.0,27797.0,456.0,-27.679,25.853,0.0,118.953,-72.99,-1029.57,-2.045,1.58
9.0,69.0,27799.0,456.0,-19.897,1.503,0.0,26.476,64.942,-969.48,-1.999,-1.27
0.0,85.0,27798.0,454.0,-0.922,-8.663,0.0,-24.197,0.915,-976.0,4.354,0.5
