theta,phi,psi,altitude,vx,vy,vz,accelx,accely,accelz,yaw1,yaw2
-297.0,-36.0,4355.0,226.0,0.0,0.0,0.0,41.739,-17.058,-995.43,0.355,-0.1
-297.0,-36.0,4356.0,226.0,0.0,0.0,0.0,39.56,-14.819,-998.04,0.354,-0.11
-298.0,-36.0,4356.0,226.0,0.0,0.0,0.0,40.127,-15.278,-994.99,0.21,-0.25
-299.0,-37.0,4357.0,226.0,0.0,0.0,0.0,40.424,-15.475,-992.34,0.26,-0.19
-299.0,-38.0,4357.0,226.0,0.0,0.0,0.0,42.712,-17.704,-993.0,0.051,-0.26
-299.0,-38.0,4358.0,226.0,0.0,0.0,0.0,45.14,-20.095,-993.18,0.039,-0.18
-299.0,-38.0,4359.0,226.0,0.0,0.0,0.0,42.226,-19.523,-993.09,0.176,-0.03
-299.0,-39.0,4360.0,226.0,0.0,0.0,0.0,39.657,-19.29,-993.17,0.104,-0.12
-299.0,-38.0,4361.0,226.0,0.0,0.0,0.0,40.398,-19.53,-993.16,0.407,-0.06
-299.0,-36.0,4362.0,226.0,0.0,0.0,0.0,42.995,-19.57,-993.12,0.392,-0.13
-299.0,-36.0,4362.0,226.0,0.0,0.0,0.0,45.085,-19.601,-993.06,0.357,-0.14
-299.0,-35.0,4363.0,226.0,0.0,0.0,0.0,44.518,-19.587,-995.47,0.401,-0.23
-299.0,-34.0,4363.0,225.0,0.0,0.0,0.0,41.842,-21.873,-997.81,0.309,-0.19
-301.0,-32.0,4364.0,225.0,0.0,0.0,0.0,39.657,-21.619,-997.26,0.332,-0.27
-301.0,-32.0,4365.0,225.0,0.0,0.0,0.0,40.202,-18.604,-997.0,0.382,-0.18
-302.0,-31.0,4366.0,225.0,0.0,0.0,0.0,40.579,-18.815,-997.16,0.355,-0.18
-302.0,-30.0,4367.0,225.0,0.0,0.0,0.0,40.457,-19.26,-997.11,0.349,-0.22
-303.0,-29.0,4368.0,225.0,0.0,0.0,0.0,40.65,-19.172,-999.51,0.357,-0.21
-304.0,-29.0,4368.0,225.0,0.0,0.0,0.0,40.673,-19.289,-999.44,0.349,-0.2
-304.0,-28.0,4369.0,225.0,0.0,0.0,0.0,40.602,-19.237,-996.53,0.354,-0.07
-304.0,-27.0,4370.0,225.0,0.0,0.0,0.0,40.588,-19.357,-996.81,0.358,-0.11
-304.0,-26.0,4371.0,225.0,0.0,0.0,0.0,40.651,-19.509,-999.67,0.352,-0.05
-304.0,-25.0,4372.0,225.0,0.0,0.0,0.0,40.591,-19.541,-999.41,0.353,-0.13
-305.0,-25.0,4373.0,225.0,0.0,0.0,0.0,40.424,-19.464,-996.53,0.355,-0.14
-305.0,-24.0,4374.0,225.0,0.0,0.0,0.0,40.371,-19.469,-996.79,0.354,-0.09
-305.0,-23.0,4375.0,225.0,0.0,0.0,0.0,40.347,-19.476,-997.3,0.354,-0.1
-305.0,-22.0,4375.0,225.0,0.0,0.0,0.0,40.329,-19.448,-997.07,0.354,-0.11
-305.0,-22.0,4376.0,225.0,0.0,0.0,0.0,40.268,-19.341,-994.73,0.208,-0.1
-306.0,-22.0,4377.0,225.0,0.0,0.0,0.0,40.223,-19.239,-992.37,0.259,-0.11
-306.0,-22.0,4378.0,225.0,0.0,0.0,0.0,40.363,-19.346,-995.38,0.195,-0.11
-306.0,-21.0,4379.0,225.0,0.0,0.0,0.0,40.41,-19.373,-995.62,0.278,-0.1
-306.0,-21.0,4380.0,225.0,0.0,0.0,0.0,40.34,-19.297,-992.52,0.284,-0.11
-307.0,-21.0,4381.0,225.0,0.0,0.0,0.0,40.387,-17.006,-992.9,0.242,-0.11
-307.0,-22.0,4382.0,225.0,0.0,0.0,0.0,40.506,-14.846,-995.8,0.247,-0.11
-307.0,-22.0,4383.0,225.0,0.0,0.0,0.0,40.561,-17.855,-997.88,0.256,-0.11
-307.0,-20.0,4383.0,225.0,0.0,0.0,0.0,40.522,-20.416,-997.28,0.396,-0.11
-307.0,-20.0,4384.0,225.0,0.0,0.0,0.0,40.519,-17.286,-997.01,0.353,-0.11
-308.0,-20.0,4385.0,225.0,0.0,0.0,0.0,40.531,-14.702,-997.27,0.416,-0.25
-309.0,-20.0,4386.0,225.0,0.0,0.0,0.0,40.517,-15.379,-997.19,0.181,-0.2
-310.0,-20.0,4387.0,225.0,0.0,0.0,0.0,40.505,-17.938,-997.15,0.227,-0.26
-311.0,-20.0,4388.0,225.0,0.0,0.0,0.0,40.434,-19.925,-994.7,0.208,-0.18
-310.0,-20.0,4389.0,225.0,0.0,0.0,0.0,40.488,-17.022,-994.82,0.285,-0.03
-311.0,-20.0,4390.0,225.0,0.0,0.0,0.0,40.558,-14.49,-995.41,0.427,-0.12
-310.0,-20.0,4390.0,225.0,0.0,0.0,0.0,42.857,-15.231,-992.73,0.339,-0.06
-310.0,-20.0,4391.0,226.0,0.0,0.0,0.0,42.786,-15.527,-992.84,0.401,-0.13
-311.0,-20.0,4392.0,226.0,0.0,0.0,0.0,39.926,-15.473,-995.81,0.185,-0.14
-311.0,-21.0,4393.0,226.0,0.0,0.0,0.0,40.213,-15.566,-997.91,0.083,-0.09
-310.0,-22.0,4394.0,226.0,0.0,0.0,0.0,42.989,-15.549,-997.34,0.116,-0.1
-310.0,-24.0,4394.0,226.0,0.0,0.0,0.0,45.04,-17.917,-996.91,-0.018,-0.11
-309.0,-23.0,4395.0,226.0,0.0,0.0,0.0,44.494,-20.235,-997.08,0.253,-0.1
-309.0,-23.0,4396.0,226.0,0.0,0.0,0.0,44.173,-19.733,-997.04,0.255,-0.11
-309.0,-23.0,4396.0,226.0,0.0,0.0,0.0,44.399,-19.516,-997.04,0.165,-0.11
-308.0,-23.0,4397.0,226.0,0.0,0.0,0.0,44.353,-22.068,-996.99,0.218,-0.1
-308.0,-23.0,4398.0,226.0,0.0,0.0,0.0,44.392,-21.964,-997.0,0.032,-0.11
-307.0,-23.0,4399.0,226.0,0.0,0.0,0.0,44.342,-18.963,-994.66,0.154,-0.11
-307.0,-23.0,4400.0,226.0,0.0,0.0,0.0,44.289,-19.07,-992.32,0.355,-0.11
-307.0,-22.0,4401.0,226.0,0.0,0.0,0.0,44.312,-19.516,-992.9,0.383,-0.11
-307.0,-21.0,4402.0,226.0,0.0,0.0,0.0,44.32,-19.263,-993.21,0.402,-0.25
-307.0,-20.0,4403.0,226.0,0.0,0.0,0.0,44.314,-19.245,-993.04,0.247,-0.2
-307.0,-20.0,4403.0,226.0,0.0,0.0,0.0,44.317,-19.147,-993.09,0.193,-0.26
-307.0,-21.0,4404.0,224.0,0.0,0.0,0.0,44.253,-19.02,-990.69,0.181,-0.18
-306.0,-20.0,4405.0,224.0,0.0,0.0,0.0,46.595,-16.563,-988.37,0.303,-0.03
-305.0,-20.0,4406.0,224.0,0.0,0.0,0.0,48.964,-16.681,-988.9,0.284,-0.12
-305.0,-20.0,4406.0,224.0,0.0,0.0,0.0,46.009,-19.61,-989.21,0.241,-0.2
